Instance  Obj            CPU Time(ms)   
1         57.4455        111.5000       
2         54.1840        106.6000       
3         54.6640        101.3000       
4         67.4640        100.8000       
5         58.0218        103.3000       
6         54.1840        99.6000        
7         54.6640        105.1000       
8         67.4640        107.9000       
9         58.0218        108.3000       
10        54.1840        100.5000       
11        54.6640        105.4000       
12        67.4640        103.4000       
13        54.5174        111.7000       
14        54.0546        106.3000       
15        60.4546        102.4000       
16        73.2546        101.6000       
17        54.5174        111.3000       
18        54.0546        100.0000       
19        60.4546        110.9000       
20        73.2546        104.9000       
21        54.5174        105.3000       
22        54.0546        102.6000       
23        60.4546        109.5000       
24        73.2546        102.4000       
25        69.5865        106.0000       
26        72.1465        101.3000       
27        77.3439        113.1000       
28        90.1439        103.2000       
29        69.5865        101.9000       
30        72.1465        103.9000       
31        77.3439        104.1000       
32        90.1439        105.5000       
33        69.5865        104.5000       
34        72.1465        103.8000       
35        77.3439        109.8000       
36        90.1439        112.3000       
