Instance  Obj            CPU Time(ms)
1         5312.1644      56.1000        
2         3980.1487      57.8000        
3         3498.4884      54.6000        
4         5673.1099      53.3000        
5         5903.9939      51.5000        
6         7080.9419      65.9000        
7         6505.5700      65.6000        
8         7337.4707      64.9000        
9         5296.3461      75.8000        
10        6120.0978      66.5000        
11        6345.5492      81.6000        
12        6309.4385      83.2000        
13        8254.8542      76.1000        
14        7610.3770      78.0000        
15        7331.0792      78.5000        
16        7616.8480      92.9000        
17        7361.9969      101.6000       
18        6197.1924      101.1000       
19        7067.8400      97.0000        
20        7179.4471      101.0000       
21        7860.3545      120.3000       
22        7286.5802      114.2000       
23        8110.9713      115.1000       
24        7797.4808      111.6000       
25        8341.5354      113.9000       
26        6229.2284      138.3000       
27        6815.7850      134.1000       
28        8273.0691      130.6000       
29        8515.9365      124.6000       
30        9612.3549      125.5000       
31        14526.2645     1666.5000      
32        14593.5324     1804.0000      
33        14318.0701     1943.0000      
34        14822.9782     1908.3000      
35        14642.5858     1862.1000      
36        20289.6511     6884.5000      
37        20356.2002     6412.2000      
38        19856.8838     6934.0000      
39        20730.7277     7322.2000      
40        20197.6178     6875.8000      
41        25175.2001     17321.9000     
42        25019.8922     14714.1000     
43        25801.1426     20533.7000     
44        24593.2769     16112.8000     
45        25148.5164     16891.0000     
46        28111.4983     32735.4000     
47        28976.7932     33659.3000     
48        28791.9271     27704.4000     
49        30242.3401     30545.1000     
50        29552.3249     32023.6000     
