Instance  Obj            CPU Time(ms)   
1         57.4455        4735.57        
2         54.184         2975.85        
3         54.664         4792.51        
4         67.464         3097.37        
5         58.0218        3289.89        
6         54.184         3013.4         
7         54.664         4799.87        
8         67.464         3138.25        
9         58.0218        3343.73        
10        54.184         3008.41        
11        54.664         4678.21        
12        67.464         3173.84        
13        54.5174        3315.08        
14        54.0546        4745.4         
15        60.4546        3302.42        
16        73.2546        3345.85        
17        54.5174        3229.81        
18        54.0546        4725.16        
19        60.4546        3200.43        
20        73.2546        3306.05        
21        54.5174        3230.13        
22        54.0546        4772.54        
23        60.4546        3147.47        
24        73.2546        3387.03        
25        69.5865        3105.68        
26        72.1465        3222.4         
27        77.3439        3091.55        
28        90.1439        3091.16        
29        69.5865        3099.49        
30        72.1465        3158.93        
31        77.3439        3098.05        
32        90.1439        3043.56        
33        69.5865        3104.26        
34        72.1465        3152.76        
35        77.3439        3073.44        
36        90.1439        3048.95        
