Instance  Obj            CPU Time(ms)   
1         5312.16        633.589        
2         3980.15        597.906        
3         3498.49        704.887        
4         5673.11        506.08         
5         5903.99        557.312        
6         7080.94        626.488        
7         6505.57        803.589        
8         7337.47        634.657        
9         5296.35        824.435        
10        6120.1         746.199        
11        6345.55        831.351        
12        6309.44        949.252        
13        8254.85        938.652        
14        7610.38        820.897        
15        7331.08        610.673        
16        7616.85        817.029        
17        7362           1140.99        
18        6197.19        1241.87        
19        7067.84        1081.57        
20        7179.45        1231.7         
21        7860.35        1266           
22        7286.58        1178.61        
23        8110.97        891.619        
24        7797.48        1138.29        
25        8341.54        1336.21        
26        6229.23        1790.59        
27        6815.78        1860.81        
28        8273.07        1295.1         
29        8559.64        1063.49        
30        9612.35        1156.5         
31        15546.5        56358.5        
32        17141.6        43429.5        
33        17110.1        19249.8        
34        15775          29796.3        
35        16565.9        51119          
36        23943.1        386224         
37        23381.1        344209         
38        23829.3        317160         
39        24248.1        394842         
40        24237.8        403605         
41        30990.3        1.33745e+06    
42        31533.8        1.35102e+06    
43        30094.4        1.19099e+06    
44        29572.1        1.52878e+06    
45        30215.9        1.6159e+06     
46        33824          3.60333e+06    
47        34824.6        3.58592e+06    
48        35778          3.4082e+06     
49        38147.7        4.21468e+06    
50        35422.7        3.0892e+06     
